Go.,Geh.
It isn't necessary.,Das ist nicht nötig.
It isn't ready yet.,Er ist noch nicht fertig.
It isn't so simple.,Es ist gar nicht so einfach.
It isn't too early.,Es ist nicht zu früh.
It keeps happening.,Das passiert immer wieder.
It looks delicious.,Es sieht köstlich aus.
It looks delicious.,Es sieht vorzüglich aus.
It looks delicious.,Es sieht sehr lecker aus.
It looks fantastic.,Es sieht fantastisch aus.
It looks like rain.,Es sieht nach Regen aus.
It looks like snow.,Es sieht nach Schnee aus!
It looks like snow.,"Es sieht aus, als ob es bald schneien wird."
It looks like snow.,Es sieht aus wie Schnee.
It looks very good.,Es sieht sehr gut aus.
It might be a trap.,Es könnte vielleicht eine Falle sein.
It might be a trap.,Es könnte eine Falle sein.
It might even work.,Es könnte sogar funktionieren.
It might rain soon.,Es könnte bald regnen.
It must be removed.,Man muss es beseitigen.
It must be removed.,Man muss sie beseitigen.
It must be removed.,Man muss ihn wegschaffen.
It rained all week.,Es regnete die ganze Woche.
It rained for days.,Es hat tagelang geregnet.
It really happened.,Es ist tatsächlich passiert.
It saved our lives.,Es hat uns das Leben gerettet.
It seems worthless.,Das scheint nutzlos zu sein.
It simply happened.,Es geschah einfach.
It simply happened.,Es passierte einfach.
It smells like Tom.,Es riecht nach Tom.
It snowed a little.,Es hat ein wenig geschneit.
It snowed all week.,Es schneite die ganze Woche.
It snowed for days.,Es schneite tagelang.
It sometimes helps.,Das hilft manchmal.
It sounds familiar.,Das kommt mir bekannt vor.
It sounds familiar.,Das klingt ähnlich.
It sounds like Tom.,Es klingt nach Tom.
It started to rain.,Es fing an zu regnen.
It started to snow.,Es begann zu schneien.
It started to snow.,Es fing an zu schneien.
It stopped raining.,Es hörte auf zu regnen.
It turned out well.,Es ist gut ausgegangen.
It was Tom's fault.,Es war Toms Schuld.
It was Tom's fault.,Es war die Schuld von Tom.
It was a bad movie.,Das war ein schlechter Film.
It was a challenge.,Es war eine Herausforderung.
It was a dream job.,Es war ein Traumjob.
It was a fun night.,Es war ein lustiger Abend.
It was a good idea.,Es war eine gute Idee.
It was a hard exam.,Es war eine schwierige Prüfung.
It was a near miss.,Es ging fast daneben.
It was a nightmare.,Es war ein Alptraum.
It was a sad story.,Es war eine traurige Geschichte.
It was about money.,Es ging um Geld.
It was all planned.,Es war alles geplant.
It was an accident.,Es war ein Unfall.
It was complicated.,Es war kompliziert.
It was easy to fix.,Das war leicht zu beheben.
It was handcrafted.,Das wurde handgefertigt.
It was hot outside.,Es war heiß draußen.
It was in the news.,Es kam in den Nachrichten.
It was in this box.,Es war in dieser Schachtel hier.
It was in this box.,Er war in dieser Schachtel hier.
It was in this box.,Sie war in dieser Schachtel hier.
It was interesting.,Das war interessant.
It was just a joke.,Es war nur ein Scherz.
It was just a joke.,Das war nur ein Witz.
It was just a kiss.,Es war nur ein Kuss.
It was just stupid.,Das war einfach dumm.
It was mesmerizing.,Es war faszinierend.
It was mesmerizing.,Es war hypnotisierend.
It was my decision.,Es war meine Entscheidung.
It was my decision.,Das war meine Entscheidung.
It was nearly noon.,Es war beinahe Mittag.
It was only a joke.,Es war nur ein Witz.
It was only a joke.,Es war nur ein Scherz.
It was only a joke.,Das war nur ein Scherz.
It was pitch-black.,Es war stockdunkel.
It was pitch-black.,Es war zappenduster.
It was pretty cool.,Es war ziemlich cool.
It was pretty dark.,Es war ziemlich dunkel.
It was pretty good.,Es war ziemlich gut.
It was pretty loud.,Es war ziemlich laut.
It was preventable.,Es hätte verhindert werden können.
It was quiet again.,Es war wieder ruhig.
It was quite funny.,Es war ziemlich lustig.
It was quite funny.,Das war ziemlich lustig.
It was really cold.,Es war ziemlich kalt.
It was really cold.,Es war sehr kalt.
It was really cool.,Es war echt cool.
It was really dark.,Es war ziemlich dunkel.
It was really good.,Es war wirklich gut.
It was really hard.,Es war sehr schwer.
It was really nice.,Es war wirklich schön.
It was really ugly.,Es war sehr hässlich.
It was soon winter.,Bald wurde es Winter.
It was still there.,Es war noch dort.
It was that simple.,Es war einfach.
It was their fault.,Das war deren Schuld.
It was unavoidable.,Das war unvermeidlich.
It was unthinkable.,Es war undenkbar.
It was unthinkable.,Das war undenkbar.
It was very simple.,Das war sehr einfach.
It was very simple.,Es war sehr einfach.
It was very stuffy.,Es war sehr stickig.
It was very stuffy.,Es war sehr spießig.
It was worth a try.,Es war einen Versuch wert.
It was worth a try.,Einen Versuch war es wert.
It wasn't my fault.,Es war nicht meine Schuld.
It wasn't my fault.,Das war nicht meine Schuld.
It wasn't personal.,Es war nichts Persönliches.
It wasn't that bad.,Es war nicht so schlecht.
It wasn't that big.,Es war nicht so groß.
It wasn't too soon.,Es war nicht zu früh.
It wasn't very fun.,Es hat nicht besonders viel Spaß gemacht.
It won't last long.,Es wird nicht lange dauern.
It won't last long.,Es wird nicht lange halten.
It won't take long.,Es wird nicht lange dauern.
It'll be a big day.,Das wird ein großer Tag.
It'll be all right.,Es wird gutgehen.
It'll be dark soon.,Es wird bald dunkel sein.
It'll be dark soon.,Bald wird es dunkel.
It'll be expensive.,Das wird teuer sein.
It'll be over soon.,Es ist bald vorbei.
It'll be over soon.,Es wird bald vorbei sein.
It'll end in tears.,Das wird noch böse enden!
It'll happen again.,Es wird wieder geschehen.
It'll have to wait.,Das muss warten!
It'll never happen.,Das wird nie passieren.
It'll rain tonight.,Heute Nacht wird es regnen.
It'll rain tonight.,Es wird heute Nacht regnen.
It'll soon be dark.,Bald wird es dunkel.
It'll soon be dawn.,Die morgendliche Dämmerung kommt bald.
It's Tom's day off.,Heute ist Toms freier Tag.
It's Tom's profile.,Es ist Toms Profil.
"It's Tom, isn't it?","Es ist Tom, nicht wahr?"
It's a Cuban cigar.,Das ist eine kubanische Zigarre.
It's a French word.,Es ist ein französisches Wort.
It's a bad example.,Das ist ein schlechtes Beispiel.
It's a big company.,Es ist ein großes Unternehmen.
It's a cruel world.,Die Welt ist grausam.
It's a cruel world.,Es ist eine grausame Welt.
It's a good policy.,Das ist eine gute Regelung.
It's a good school.,Das ist eine gute Schule.
It's a lot of work.,Das ist eine Menge Arbeit.
It's a nice change.,Das ist eine schöne Veränderung.
It's a pretty flag.,Das ist eine schöne Flagge.
It's a proven fact.,Das ist eine bewiesene Tatsache.
It's a red herring.,Das ist ein Ablenkungsmanöver.
It's a small world.,Es ist eine kleine Welt.
It's a stupid idea.,Das ist eine dumme Idee.
It's a stupid idea.,Das ist eine blöde Idee.
It's a stupid rule.,Das ist eine blöde Regel.
It's a tricky case.,Das ist eine schwierige Sache.
It's a typo. Sorry.,Das ist ein Tippfehler. Entschuldigung!
It's a typo. Sorry.,"Es ist ein Druckfehler, Entschuldigung!"
It's a vague story.,Das ist eine unklare Geschichte.
It's a work of art.,Es ist ein Kunstwerk.
It's about to rain.,Es wird bald regnen.
It's about to rain.,Es wird gleich regnen.
It's all our fault.,Das ist alles unsere Schuld.
It's all up to you.,Es hängt allein von dir ab.
It's all up to you.,Es hängt ganz von Ihnen ab.
It's almost summer.,Es ist fast Sommer.
It's already seven.,Es ist schon um 7.
It's an experiment.,Es ist ein Experiment.
It's an olive tree.,Das ist ein Olivenbaum.
It's at the corner.,Es ist an der Ecke.
It's badly damaged.,Es ist ziemlich beschädigt.
It's badly damaged.,Sie ist ziemlich beschädigt.
It's badly damaged.,Er ist ziemlich beschädigt.
It's beautiful out.,Das Wetter ist schön.
It's been terrific.,Es war großartig.
It's been terrific.,Es ist großartig gewesen.
It's beyond reason.,Das ist jenseits der Vernunft.
"It's big, isn't it?","Sie ist groß, oder?"
"It's big, isn't it?","Es ist groß, oder?"
It's bitterly cold.,Es ist bitterkalt.
It's bitterly cold.,Es ist saukalt.
It's cold out here.,Es ist kalt hier draußen.
It's disappointing.,Es ist enttäuschend.
It's easy to learn.,Es ist leicht zu lernen.
It's far from here.,Es ist weit von hier.
It's far from over.,Es ist noch lange nicht vorbei.
It's far too small.,Das ist viel zu klein.
It's fine as it is.,"Es ist gut, wie es ist."
It's foggy outside.,Draußen ist Nebel.
It's foggy outside.,Draußen ist es neblig.
It's for my family.,Es ist für meine Familie.
It's freezing here!,Hier ist es eiskalt!
It's freezing here.,Hier ist es eiskalt.
It's fun to travel.,Reisen macht Spaß.
It's getting there.,Langsam wird’s.
It's getting worse.,Es wird immer schlimmer.
It's getting worse.,Es wird schlimmer.
It's getting worse.,Es wird noch schlimmer.
It's going to rain.,Es wird gleich regnen.
It's good training.,Das ist eine gute Übung.
It's got to be now.,Es muss jetzt sein.
It's gotten better.,Es ist besser geworden.
It's hot down here.,Heiß hier unten.
"It's hot, isn't it?",Was für eine Hitze!
It's in good hands.,Sie ist in guten Händen.
It's in the fridge.,Es ist im Kühlschrank.
It's in the fridge.,Sie ist im Kühlschrank.
It's in the fridge.,Er ist im Kühlschrank.
It's in your truck.,Es ist in deinem Lastwagen.
It's in your truck.,Er ist in deinem Lastwagen.
It's in your truck.,Sie ist in deinem Lastwagen.
It's just a facade.,Das sind nur Potemkinsche Dörfer.
It's just a saying.,Das ist nur eine Redensart.
It's just a theory.,Das ist nur eine Theorie.
It's just midnight.,Es ist genau Mitternacht.
It's just not fair.,Es ist einfach nicht fair.
It's just not fair.,Das ist einfach ungerecht.
It's just the wind.,Das ist nur der Wind.
It's just too soon.,Es ist einfach zu früh.
It's kind of funny.,Es ist irgendwie lustig.
It's late. Go home.,Es ist schon spät. Geh nach Hause!
It's made of brass.,Es ist aus Messing gefertigt.
It's made of brass.,Er ist aus Messing gemacht.
It's made of brass.,Sie ist aus Messing gefertigt.
"It's me again, Tom.","Ich bin's nochmal, Tom."
It's merely a joke.,Es ist nur ein Spaß.
It's my first time.,Das ist mein erstes Mal.
It's my last offer.,Das ist mein letztes Angebot.
"It's my money, too.",Es ist auch mein Geld.
It's nice and cool.,Es ist schön kühl.
It's nice and cool.,Es ist angenehm kühl.
It's nice and warm.,Es ist schön und warm.
It's nice and warm.,Es ist schön warm.
It's not Christmas.,Es ist nicht Weihnachten.
It's not a problem.,Das ist kein Problem.
It's not expensive.,Es ist nicht teuer.
It's not hot today.,Heute ist es nicht heiß.
It's not important.,Das ist nicht wichtig.
It's not important.,Das spielt keine Rolle.
It's not like that.,So ist es nicht.
It's not necessary.,Das ist nicht nötig.
It's not safe here.,Es ist hier nicht sicher.
It's not that cold.,So kalt ist es nicht.
It's not that deep.,Es ist nicht so tief.
It's not that hard.,Das ist nicht weiter schwierig.
It's not up to you.,Es liegt nicht an dir.
It's not very good.,Es ist nicht sehr gut.
It's now your turn.,Jetzt bist du dran.
It's now your turn.,Jetzt seid ihr dran.
It's now your turn.,Jetzt sind Sie dran.
It's only a theory.,Das ist nur eine Theorie.
It's pretty simple.,Es ist ziemlich einfach.
It's pretty simple.,Sie ist ziemlich einfach.
It's pretty simple.,Er ist ziemlich einfach.
It's probably hard.,Es ist wahrscheinlich schwer.
It's probably true.,Es ist wahrscheinlich wahr.
It's quite serious.,Es ist ziemlich ernst.
It's raining again!,Es regnet wieder!
It's raining there.,Es regnet dort.
It's raining today.,Heute regnet es.
It's rather ironic.,Es ist ziemlich ironisch.
It's rather unique.,Das ist ziemlich einzigartig.
It's really boring.,Das ist wirklich langweilig.
It's really simple.,Es ist wirklich einfach.
It's rude to stare.,Es ist unhöflich zu starren.
"It's sad, but true.","Traurig, aber wahr!"
"It's sad, but true.","Es ist traurig, aber wahr."
It's scorching hot.,Es herrscht eine Affenhitze.
It's seven o'clock.,Es ist sieben Uhr.
It's snowing again.,Es schneit schon wieder.
It's snowing there.,Es schneit dort.
It's snowing today.,Heute schneit es.
It's snowing today.,Es schneit heute.
It's so impersonal.,Es ist so unpersönlich.
It's so improbable.,Das ist so unwahrscheinlich.
It's started again.,Es hat wieder angefangen.
It's still crowded.,Es ist noch immer überfüllt.
It's still immoral.,Es ist immer noch unmoralisch.
It's still raining.,Es regnet noch.
It's still raining.,Es regnet immer noch.
It's still raining.,Es ist immer noch am Regnen.
It's still snowing.,Es schneit noch immer.
It's time to leave.,Es ist Zeit zu gehen.
It's time to leave.,Es ist Zeit aufzubrechen.
It's time to party.,Zeit zu feiern!
It's time to sleep.,Es ist Zeit zu schlafen.
It's time to sleep.,"Zeit, ins Bett zu gehen!"
It's too dangerous.,Es ist zu gefährlich.
It's too difficult.,Es ist zu schwierig.
It's too expensive.,Das ist zu teuer!
It's too expensive.,Es ist zu teuer.
It's totally wrong.,Es ist völlig falsch.
It's unforgettable.,Es ist unvergesslich.
It's unforgettable.,Das ist unvergesslich.
It's very alarming.,Das ist sehr beunruhigend.
It's very close by.,Das ist ganz in der Nähe!
It's very cold now.,Es ist jetzt sehr kalt.
It's very exciting.,Es ist sehr aufregend.
It's very hot here.,Es ist sehr heiß hier.
It's very ordinary.,Das ist sehr alltäglich.
It's way too heavy.,Das ist viel zu schwer.
It's way too heavy.,Das ist bei weitem zu schwer.
It's well worth it.,Die Mühe ist es Wert.
It's your decision.,Es ist deine Entscheidung.
It's your decision.,Es ist eure Entscheidung.
It's your decision.,Es ist Ihre Entscheidung.
Italy is in Europe.,Italien ist in Europa.
Italy is in Europe.,Italien liegt in Europa.
Italy isn't Greece.,Italien ist nicht Griechenland.
Jam comes in a jar.,Marmelade gibt es im Glas.
Jam comes in a jar.,Konfitüre gibt es im Glas.
Judge for yourself.,Urteile selbst!
Judge for yourself.,Mache dir selbst ein Bild!
Just do what I say.,"Tu einfach, was ich sage!"
Just don't drop it.,Lass es bloß nicht fallen!
Just don't drop it.,Lassen Sie es bloß nicht fallen!
Just don't drop it.,Lass sie ja nicht fallen!
Just don't give up.,Nur nicht aufgeben!
Just get down here.,Geh einfach da lang.
Just give it a try.,Versuch’s doch einfach mal!
Just say yes or no.,Sag nur ja oder nein.
Just start talking.,Schieß schon los!
Just throw it away.,Wirf es einfach weg.
Just throw it away.,Wirf ihn einfach weg.
Just throw it away.,Wirf sie einfach weg.
Just throw it away.,Werfen Sie es einfach weg.
Just throw it away.,Werfen Sie ihn einfach weg.
Just throw it away.,Werfen Sie sie einfach weg.
Just throw it away.,Werft es einfach weg.
Just throw it away.,Werft sie einfach weg.
Just throw it away.,Werft ihn einfach weg.
"Just water, please.","Nur Wasser, bitte."
Keep an eye on Tom.,Behalte Tom im Auge!
Keep an eye on Tom.,Pass auf Tom auf!
Keep an eye on Tom.,Behalten Sie Tom im Auge!
Keep an eye on Tom.,Passen Sie auf Tom auf!
Keep an eye on him.,Behalte ihn im Auge!
Keep me up to date.,Haltet mich auf dem Laufenden.
Keep off the grass.,Rasen betreten verboten.
Keep off the grass.,Betreten des Rasens verboten.
Keep your promises.,Halte deine Versprechen!
Knock yourself out.,Hau rein.
Knowledge is power.,Wissen ist Macht.
Laundry is a chore.,Das Wäschewaschen gehört zur Hausarbeit.
Laws are necessary.,Gesetze tun not.
Leave my car alone.,Lass mein Auto in Ruhe.
Leave the light on.,Lass das Licht an!
Leave the light on.,Lassen Sie das Licht an!
Leave the light on.,Lasst das Licht an!
Leaves are falling.,Blätter fallen.
Lesson Two is easy.,Lektion zwei ist einfach.
Let Tom do his job.,Lass Tom seine Arbeit verrichten!
Let Tom do his job.,Lassen Sie Tom seine Arbeit verrichten!
Let go of the rope.,Lass das Seil los!
Let go of the rope.,Lasst das Seil los!
Let go of the rope.,Lassen Sie das Seil los!
Let him pay for it.,Lass ihn dafür bezahlen!
Let me buy another.,Lass mich noch einen kaufen.
Let me explain why.,"Lass mich erklären, warum."
Let me explain why.,"Lasst mich erklären, wieso."
Let me explain why.,"Lassen Sie mich erklären, weshalb."
Let me go with you.,Lass mich mit dir gehen.
Let me go with you.,Lasst mich mit euch gehen.
Let me handle that.,Lass mich das erledigen.
Let me handle this.,Lass mich das erledigen.
Let me handle this.,Lassen Sie mich das erledigen.
Let me have a look.,Lasse mich das anschauen.
Let me have a look.,Lass mich mal nachsehen.
Let me have a look.,Lass mal sehen!
Let me look at you.,Lass dich anschauen!
Let me pay tonight.,Lass mich heute Abend zahlen.
Let me take a look.,Lasse mich das anschauen.
Let the engine run.,Lass den Motor laufen.
Let us do the work.,Machen wir uns an die Arbeit!
Let us sing a song.,Lasst uns ein Lied singen!
Let's bake cookies.,Lass uns Kekse backen!
Let's be objective.,Seien wir objektiv!
Let's buy this one.,Lasst uns diesen kaufen.
Let's buy this one.,Lass uns diesen kaufen.
Let's get divorced.,Lassen wir uns scheiden.
Let's get off here.,Lasst uns hier aussteigen.
Let's go get drunk.,Gehen wir uns betrinken.
"Let's go home, Tom.","Lass uns nach Hause gehen, Tom!"
"Let's go home, Tom.","Gehen wir nach Hause, Tom!"
Let's go into town.,Lass uns in die Stadt gehen!
Let's have a drink.,Lass uns etwas trinken.
Let's have a drink.,Trinken wir etwas!
Let's hide in here.,Verstecken wir uns hier drin!
Let's hit the sack.,Lass uns schlafen gehen.
Let's hit the sack.,Hauen wir uns aufs Ohr.
Let's just go home.,Lasst uns jetzt nachhause gehen.
Let's learn French.,Lernen wir Französisch!
Let's meet at 2:30.,Treffen wir uns um 2.30 Uhr!
Let's meet at 2:30.,Treffen wir uns um halb drei!
Let's meet at 6:30.,Treffen wir uns um halb sieben!
Let's move the bed.,Lass uns das Bett verschieben.
Let's skip dessert.,Lasst uns auf den Nachtisch verzichten.
Let's speak French.,Sprechen wir Französisch!
Let's stay focused.,Lasst uns konzentriert bleiben!
Let's stop arguing.,"Hören wir auf, uns zu streiten!"
Let's study French.,Lernen wir Französisch!
Let's take a break.,Lasst uns eine Pause machen!
Let's take a break.,Lass uns eine Pause machen!
Let's take a train.,Lass uns den Zug nehmen.
Let's take a train.,"Komm, wir fahren mit dem Zug."
Let's take the bus.,Lass uns den Bus nehmen.
Let's take the bus.,Lasst uns den Bus nehmen.
Let's talk outside.,Lass uns draußen sprechen!
Let's talk outside.,Lasst uns draußen sprechen!
Let's talk outside.,Lassen Sie uns draußen sprechen!
Let's try it again.,Lass es uns noch einmal versuchen.
Let's wait a while.,Warten wir noch ein bisschen!
Let's wait for Tom.,Lass uns auf Tom warten.
Let's wait outside.,Warten wir draußen.
Let's write a book.,Lass uns ein Buch schreiben.
Life is so strange.,Das Leben ist so eigenartig.
Life is very short.,Das Leben ist sehr kurz.
Lilies smell sweet.,Lilien duften süß.
"Listen, all of you.","Zuhören, alle von euch."
Little has changed.,Wenig hat sich verändert.
Lock all the doors.,Verschließe alle Türen.
Lock all the doors.,Verschließt alle Türen.
"Look at me, please.",Bitte schaut mich an.
"Look at me, please.",Bitte schauen Sie mich an.
"Look at me, please.",Sieh mich bitte an!
Look at my new car.,Sieh dir einmal meinen neuen Wagen an!
Look at that house.,Schau mal: das Haus da!
Look at that house.,Schau dir das Haus dort an!
Look at that smoke.,Sehen Sie sich diesen Rauch an.
Look at this photo.,Sieh dir dieses Foto an.
Look at this stuff.,Schau dir das Zeug an!
Look at your hands.,Schau deine Hände an!
Look in the mirror.,Schau in den Spiegel.
Look in the mirror.,Schau in den Spiegel!
Look under the bed.,Schau unters Bett!
Look up at the sky.,Blicke zum Himmel empor!
Look what I caught.,"Guck mal, was ich gefangen habe!"
Look what happened.,"Sieh, was passiert ist!"
Look who's talking!,Das musst ausgerechnet du sagen!
Look who's talking!,Das sagt der Richtige!
Look who's talking!,Das sagt die Richtige!
Look! She's coming!,Schau! Sie kommt!
"Look, Tom is on TV.",Guck mal! Tom ist im Fernsehen!
"Look, it's snowing!","Guck mal, es schneit!"
Love doesn't exist.,Liebe existiert nicht.
Love is a delusion.,Die Liebe ist ein Wahn.
Love is in the air.,Liebe liegt in der Luft.
Love is irrational.,Liebe ist Unvernunft.
Love is not enough.,Liebe reicht nicht.
Love your neighbor.,Liebe deinen Nächsten.
Luck is against me.,Das Glück hat sich gegen mich gewendet.
"Luckily, it worked.",Zum Glück hat es funktioniert.
"Luckily, it worked.",Zum Glück funktionierte es.
"Make it short, Tom.","Mach es kurz, Tom!"
"Make love, not war.","Macht Liebe, nicht Krieg."
"Make love, not war.","Der Liebe, nicht dem Kriege widmet euch!"
Mars has two moons.,Der Mars hat zwei Monde.
Mary has nice legs.,Mary hat hübsche Beine.
Mary iced the cake.,Mary glasierte den Kuchen.
Mary is Tom's wife.,Marie ist Toms Frau.
Mary is Tom's wife.,Mary ist Toms Frau.
Mary is Tom's wife.,Mary ist Toms Ehefrau.
Mary is a bad girl.,Maria ist ein böses Mädchen.
Mary is a feminist.,Maria ist Feministin.
Mary is a waitress.,Maria ist Kellnerin.
Mary is an actress.,Maria ist Schauspielerin.
Mary is attractive.,Maria ist attraktiv.
Mary is hysterical.,Maria ist hysterisch.
Mary isn't married.,Maria ist nicht verheiratet.
Mary lost her baby.,Maria hat ihr Kind verloren.
Mary loves flowers.,Mary liebt Blumen.
Mary sings soprano.,Maria singt Sopran.
Mary was beautiful.,Maria war schön.
May God reward you.,Gott vergelte dir’s!
May God reward you.,Möge Gott dir’s vergelten!
May I call you Tom?,Darf ich dich Tom nennen?
May I call you Tom?,Kann ich dich Tom nennen?
May I have a drink?,Dürfte ich etwas zu trinken haben?
May I kiss you now?,Darf ich dich jetzt küssen?
May I pay by check?,Kann ich mit Scheck zahlen?
May I run with you?,Kann ich mit dir laufen?
May I sit with you?,Darf ich mich zu dir setzen?
May I speak to Tom?,Kann ich mit Tom sprechen?
May I speak to you?,Kann ich dich sprechen?
May I speak to you?,Kann ich Sie sprechen?
May I speak to you?,Kann ich euch sprechen?
May I take a photo?,Darf ich ein Foto machen?
May I use this cup?,Darf ich diese Tasse benützen?
May I use this pen?,Darf ich diesen Stift benutzen?
May we take photos?,Darf man fotografieren?
Maybe I could help.,Vielleicht könnte ich helfen.
Maybe Tom got lost.,Vielleicht hat sich Tom verirrt.
Maybe Tom is lying.,Vielleicht lügt Tom.
Maybe he likes you.,Möglicherweise mag er dich.
Maybe he likes you.,Vielleicht kann er Sie gut leiden.
Maybe it will snow.,Es wird vielleicht schneien.
Maybe it will snow.,Vielleicht schneit es.
Maybe they gave up.,Vielleicht haben sie aufgegeben.
Maybe they gave up.,Vielleicht haben die aufgegeben.
Maybe they're busy.,Vielleicht sind sie beschäftigt.
Maybe you're right.,Vielleicht hast du Recht.
Maybe you're right.,Du hast vielleicht recht.
Maybe you're right.,Vielleicht habt ihr recht.
Meet me in an hour.,Wir treffen uns in einer Stunde.
Memorize this poem.,Lerne dieses Gedicht auswendig.
Milk is nutritious.,Milch ist nahrhaft.
Mistakes were made.,Es wurden Fehler gemacht.
Monday's a holiday.,Am Montag ist Feiertag.
Music is universal.,Musik ist universell.
My French is awful.,Mein Französisch ist furchtbar.
My answer is final.,Meine Antwort ist endgültig.
My arm still hurts.,Mein Arm tut mir noch weh.
My arm still hurts.,Mir tut der Arm noch immer weh.
My bags are packed.,Meine Taschen sind gepackt.
My bath has a leak.,Meine Badewanne hat ein Leck.
My battery is dead.,Mein Akku ist leer.
My boots are muddy.,Meine Stiefel sind schmutzig.
My car won't start.,Mein Auto springt nicht an.
My car won't start.,Mein Auto will nicht anspringen.
My dad just called.,Mein Vater hat gerade angerufen.
My dog is very old.,Mein Hund ist sehr alt.
My door was closed.,Meine Tür war zu.
My dream came true.,Mein Traum wurde wahr.
My dream came true.,Mein Traum ist wahr geworden.
My dress is ruined.,Mein Kleid ist ruiniert.
My eyes are closed.,Meine Augen sind geschlossen.
My eyes are closed.,Meine Augen sind zu.
My eyes feel itchy.,Meine Augen krabbeln.
My family is large.,Meine Familie ist groß.
My family is small.,Meine Familie ist klein.
My father is quiet.,Mein Vater ist schweigsam.
My father was busy.,Mein Vater war beschäftigt.
My friend was shot.,Mein Freund wurde angeschossen.
My friend was shot.,Mein Freund wurde durch einen Schuss verletzt.
My friend was shot.,Mein Freund wurde durch Schüsse verletzt.
My garden is small.,Mein Garten ist klein.
My hair's too long.,Meine Haare sind zu lang.
My hair's too long.,Ich habe zu langes Haar.
My hair's too long.,Mein Haar ist zu lang.
My hands are dirty.,Meine Hände sind dreckig.
My hands are dirty.,Meine Hände sind schmutzig.
My hands were full.,Meine Hände waren voll.
My holiday is over.,Mein Urlaub ist vorbei.
My house is a mess.,Bei mir zu Hause ist es unordentlich.
My husband is lazy.,Mein Mann ist ein Faulpelz.
My husband is lazy.,Mein Mann ist faul.
My knife is broken.,Mein Messer ist zerbrochen.
My left foot hurts.,Mir tut der linke Fuß weh.
My left hand hurts.,Mir tut die linke Hand weh.
My legs feel heavy.,Meine Beine fühlen sich schwer an.
My legs still hurt.,Meine Beine schmerzen immer noch.
My legs still hurt.,Meine Beine tun immer noch weh.
My legs still hurt.,Mir tun noch immer die Beine weh.
My lips are sealed.,Meine Lippen sind versiegelt.
My lips are sealed.,Meine Lippen sind verschlossen.
My mailbox is full.,Meine Mailbox ist voll.
My mailbox is full.,Mein Briefkasten ist voll.
My mind is a blank.,Ich habe ein Brett vor dem Kopf.
My mind is a blank.,Ich kann nicht klar denken.
My mind was racing.,Mein Herz raste.
My mother is angry.,Meine Mutter ist wütend.
My mother is angry.,Meine Mutter ist verärgert.
My mother loves me.,Meine Mutter liebt mich.
"My name's Tom, too.",Mein Name ist auch Tom.
My nose is running.,Meine Nase läuft.
My nose is running.,Mir läuft die Nase.
My parents are old.,Meine Eltern sind alt.
My parents love me.,Meine Eltern lieben mich.
My question is why.,Meine Frage ist: „Warum?“
My radio is broken.,Mein Radio ist kaputt.
My right leg hurts.,Mir tut das rechte Bein weh.
My roof has a leak.,Mein Dach ist undicht.
My roof is leaking.,Mein Dach leckt.
My roof is leaking.,Mein Dach ist undicht.
My shirt is orange.,Mein Hemd ist orange.
My shoes are brown.,Meine Schuhe sind braun.
My socks are dirty.,Meine Socken sind dreckig.
My stomach growled.,Mir knurrte der Magen.
My stomach is full.,Mein Bauch ist voll.
My teeth are white.,Meine Zähne sind weiß.
My teeth are white.,Ich habe weiße Zähne.
My toes are frozen.,Mir sind die Zehen eingefroren.
My turn comes next.,Ich bin als Nächster an der Reihe.
My watch is broken.,Meine Uhr ist defekt.
My watch says 2:30.,Auf meiner Uhr ist's halb drei.
My wife cooks well.,Meine Frau kocht gut.
My wife hates cats.,Meine Frau hasst Katzen.
My wife is at home.,Meine Frau ist zu Hause.
My wife is cooking.,Meine Frau kocht gerade.
My wife loves cats.,Meine Frau liebt Katzen.
My wife's pregnant.,Meine Frau ist schwanger.
My window was open.,Mein Fenster stand offen.
My zipper is stuck.,Mein Reißverschluss steckt fest.
Need anything else?,Darf es noch etwas sein?
Never ever give up.,Gib niemals auf!
Never give up hope.,Gib niemals die Hoffnung auf!
"Next slide, please.",Bitte das nächste Dia.
"Nice day, isn't it?","Schöner Tag, nicht wahr?"
No one believed me.,Niemand glaubte mir.
No one believed us.,Niemand hat uns geglaubt.
No one believes me.,Niemand glaubt mir.
No one believes me.,Keiner glaubt mir.
No one believes us.,Niemand glaubt uns.
No one can help me.,Niemand kann mir helfen.
No one can help us.,Es kann uns niemand helfen.
No one can stop me.,Es kann mich niemand aufhalten.
No one can stop us.,Niemand kann uns aufhalten.
No one can stop us.,Uns kann niemand aufhalten.
No one else got it.,Kein anderer hat es kapiert.
No one followed me.,Keiner ist mir gefolgt.
No one followed us.,Keiner ist uns gefolgt.
No one invited Tom.,Niemand hat Tom eingeladen.
No one is immortal.,Niemand ist unsterblich.
No one is immortal.,Keiner ist unsterblich.
No one is laughing.,Niemand lacht.
No one lives there.,Da wohnt keiner.
No one looks happy.,Keiner macht ein glückliches Gesicht.
No one noticed Tom.,Niemand bemerkte Tom.
No one noticed Tom.,Keiner achtete auf Tom.
No one respects me.,Niemand respektiert mich.
No one saw a thing.,Niemand hat etwas gesehen.
No one thinks that.,Das denkt niemand.
No one was at home.,Niemand war zu Hause.
No one was at home.,Es war niemand zu Hause.
No one was injured.,Niemand wurde verletzt.
No one was present.,Keiner war da.
No one will see us.,Niemand wird uns sehen.
